street_address,postal_code,latitude,longitude,link,page,num,address_locality,address_region,scrape_generated,link_new,is_same,property
104 Wynoka St,15210,40.405243,-79.98897,https://www.trulia.com/p/pa/pittsburgh/104-wynoka-st-pittsburgh-pa-15210--1138496468,88,28,Pittsburgh,PA,104 wynoka st pittsburgh pa 15210,104 wynoka st pittsburgh pa 15210,1,0
360 W Riverview Ave,15202,40.493046,-80.06156,https://www.trulia.com/p/pa/pittsburgh/360-w-riverview-ave-pittsburgh-pa-15202--1118439878,88,29,Pittsburgh,PA,360 w riverview ave pittsburgh pa 15202,360 w riverview ave pittsburgh pa 15202,1,0
848 Village Dr,15237,40.55573,-80.057465,https://www.trulia.com/p/pa/pittsburgh/848-village-dr-pittsburgh-pa-15237--2014281903,89,0,Pittsburgh,PA,848 village dr pittsburgh pa 15237,848 village dr pittsburgh pa 15237,1,0
2288 Reis Run Rd,15237,40.57468,-80.07626,https://www.trulia.com/p/pa/pittsburgh/2288-reis-run-rd-pittsburgh-pa-15237--2014274676,89,1,Pittsburgh,PA,2288 reis run rd pittsburgh pa 15237,2288 reis run rd pittsburgh pa 15237,1,0
659 Forest Ave,15202,40.503525,-80.05365,https://www.trulia.com/p/pa/pittsburgh/659-forest-ave-pittsburgh-pa-15202--1119639803,89,2,Pittsburgh,PA,659 forest ave pittsburgh pa 15202,659 forest ave pittsburgh pa 15202,1,0
3219 Faronia St,15204,40.451485,-80.067154,https://www.trulia.com/p/pa/pittsburgh/3219-faronia-st-pittsburgh-pa-15204--1005679637,89,3,Pittsburgh,PA,3219 faronia st pittsburgh pa 15204,3219 faronia st pittsburgh pa 15204,1,0
7312 Whipple St,15218,40.42491,-79.89425,https://www.trulia.com/p/pa/pittsburgh/7312-whipple-st-pittsburgh-pa-15218--1044361539,89,4,Pittsburgh,PA,7312 whipple st pittsburgh pa 15218,7312 whipple st pittsburgh pa 15218,1,0
1634 Rockford Ave,15226,40.384483,-80.01213,https://www.trulia.com/p/pa/pittsburgh/1634-rockford-ave-pittsburgh-pa-15226--2014200815,89,5,Pittsburgh,PA,1634 rockford ave pittsburgh pa 15226,1634 rockford ave pittsburgh pa 15226,1,0
3621 Reiland St,15227,40.36537,-79.99327,https://www.trulia.com/p/pa/pittsburgh/3621-reiland-st-pittsburgh-pa-15227--2014212276,89,6,Pittsburgh,PA,3621 reiland st pittsburgh pa 15227,3621 reiland st pittsburgh pa 15227,1,0
432 Iberia St,15211,40.42422,-79.99949,https://www.trulia.com/p/pa/pittsburgh/432-iberia-st-pittsburgh-pa-15211--2014105133,89,9,Pittsburgh,PA,432 iberia st pittsburgh pa 15211,432 iberia st pittsburgh pa 15211,1,0
511 Division Ave,15202,40.49307,-80.058304,https://www.trulia.com/p/pa/pittsburgh/511-division-ave-pittsburgh-pa-15202--1015888697,89,11,Pittsburgh,PA,511 division ave pittsburgh pa 15202,511 division ave pittsburgh pa 15202,1,0
538 Brushglen Ln,15236,40.324097,-79.9722,https://www.trulia.com/p/pa/pittsburgh/538-brushglen-ln-pittsburgh-pa-15236--2014264264,89,12,Pittsburgh,PA,538 brushglen ln pittsburgh pa 15236,538 brushglen ln pittsburgh pa 15236,1,0
1033 Glencoe Ave,15220,40.413925,-80.0472,https://www.trulia.com/p/pa/pittsburgh/1033-glencoe-ave-pittsburgh-pa-15220--2014168549,89,13,Pittsburgh,PA,1033 glencoe ave pittsburgh pa 15220,1033 glencoe ave pittsburgh pa 15220,1,0
1671 Heritage Dr,15237,40.541325,-80.07514,https://www.trulia.com/p/pa/pittsburgh/1671-heritage-dr-pittsburgh-pa-15237--2014272600,89,14,Pittsburgh,PA,1671 heritage dr pittsburgh pa 15237,1671 heritage dr pittsburgh pa 15237,1,0
1052 Thornwood Dr,15234,40.35846,-80.03124,https://www.trulia.com/p/pa/pittsburgh/1052-thornwood-dr-pittsburgh-pa-15234--2014232774,89,15,Pittsburgh,PA,1052 thornwood dr pittsburgh pa 15234,1052 thornwood dr pittsburgh pa 15234,1,0
4009 Meadowbrook Blvd,15227,40.36553,-79.97752,https://www.trulia.com/p/pa/pittsburgh/4009-meadowbrook-blvd-pittsburgh-pa-15227--2014213187,89,16,Pittsburgh,PA,4009 meadowbrook blvd pittsburgh pa 15227,4009 meadowbrook blvd pittsburgh pa 15227,1,0
5090 Fieldcrest Dr,15236,40.35749,-80.007904,https://www.trulia.com/p/pa/pittsburgh/5090-fieldcrest-dr-pittsburgh-pa-15236--2014262277,89,17,Pittsburgh,PA,5090 fieldcrest dr pittsburgh pa 15236,5090 fieldcrest dr pittsburgh pa 15236,1,0
1315 Fallowfield Ave,15216,40.41574,-80.02376,https://www.trulia.com/p/pa/pittsburgh/1315-fallowfield-ave-pittsburgh-pa-15216--2014138419,89,18,Pittsburgh,PA,1315 fallowfield ave pittsburgh pa 15216,1315 fallowfield ave pittsburgh pa 15216,1,0
2465 Huntington Dr,15241,40.31959,-80.08269,https://www.trulia.com/p/pa/pittsburgh/2465-huntington-dr-pittsburgh-pa-15241--2014303965,89,19,Pittsburgh,PA,2465 huntington dr pittsburgh pa 15241,2465 huntington dr pittsburgh pa 15241,1,0
8448 Edwood Rd,15237,40.56138,-80.03139,https://www.trulia.com/p/pa/pittsburgh/8448-edwood-rd-pittsburgh-pa-15237--2014281865,89,20,Pittsburgh,PA,8448 edwood rd pittsburgh pa 15237,8448 edwood rd pittsburgh pa 15237,1,0
117 Minooka St,15210,40.40319,-79.99308,https://www.trulia.com/p/pa/pittsburgh/117-minooka-st-pittsburgh-pa-15210--2014089954,89,21,Pittsburgh,PA,117 minooka st pittsburgh pa 15210,117 minooka st pittsburgh pa 15210,1,0
1537 Cooper Ave,15212,40.483025,-80.03956,https://www.trulia.com/p/pa/pittsburgh/1537-cooper-ave-pittsburgh-pa-15212--2014111557,89,22,Pittsburgh,PA,1537 cooper ave pittsburgh pa 15212,1537 cooper ave pittsburgh pa 15212,1,0
89 N Joslyn Dr,15235,40.46388,-79.80314,https://www.trulia.com/p/pa/pittsburgh/89-n-joslyn-dr-pittsburgh-pa-15235--1120145242,89,23,Pittsburgh,PA,89 n joslyn dr pittsburgh pa 15235,89 n joslyn dr pittsburgh pa 15235,1,0
1615 Tier Dr,15241,40.351154,-80.07744,https://www.trulia.com/p/pa/pittsburgh/1615-tier-dr-pittsburgh-pa-15241--2014301330,89,24,Pittsburgh,PA,1615 tier dr pittsburgh pa 15241,1615 tier dr pittsburgh pa 15241,1,0
104 E Meyers St,15210,40.39992,-79.9872,https://www.trulia.com/p/pa/pittsburgh/104-e-meyers-st-pittsburgh-pa-15210--2089357640,89,25,Pittsburgh,PA,104 e meyers st pittsburgh pa 15210,104 e meyers st pittsburgh pa 15210,1,0
310 Nichols Rd,15237,40.51662,-79.996826,https://www.trulia.com/p/pa/pittsburgh/310-nichols-rd-pittsburgh-pa-15237--1118116914,89,26,Pittsburgh,PA,310 nichols rd pittsburgh pa 15237,310 nichols rd pittsburgh pa 15237,1,0
238 Marshall Dr,15235,40.449585,-79.83446,https://www.trulia.com/p/pa/pittsburgh/238-marshall-dr-pittsburgh-pa-15235--2014246298,89,27,Pittsburgh,PA,238 marshall dr pittsburgh pa 15235,238 marshall dr pittsburgh pa 15235,1,0
2250 Mary St #113,15203,40.42553,-79.974464,https://www.trulia.com/p/pa/pittsburgh/2250-mary-st-113-pittsburgh-pa-15203--2014045565,89,28,Pittsburgh,PA,2250 mary st 113 pittsburgh pa 15203,2250 mary st 113 pittsburgh pa 15203,1,0
35 Hemingway St,15213,40.456757,-79.9506,https://www.trulia.com/p/pa/pittsburgh/35-hemingway-st-pittsburgh-pa-15213--2014122823,89,29,Pittsburgh,PA,35 hemingway st pittsburgh pa 15213,35 hemingway st pittsburgh pa 15213,1,0
4958 Carlyn Dr,15236,40.350002,-79.98668,https://www.trulia.com/p/pa/pittsburgh/4958-carlyn-dr-pittsburgh-pa-15236--1015954084,90,3,Pittsburgh,PA,4958 carlyn dr pittsburgh pa 15236,4958 carlyn dr pittsburgh pa 15236,1,0
6646 Woodwell St,15217,40.44424,-79.91357,https://www.trulia.com/p/pa/pittsburgh/6646-woodwell-st-pittsburgh-pa-15217--2014154203,90,4,Pittsburgh,PA,6646 woodwell st pittsburgh pa 15217,6646 woodwell st pittsburgh pa 15217,1,0
5923 Howe St,15232,40.453167,-79.92597,https://www.trulia.com/p/pa/pittsburgh/5923-howe-st-pittsburgh-pa-15232--1037283162,90,5,Pittsburgh,PA,5923 howe st pittsburgh pa 15232,5923 howe st pittsburgh pa 15232,1,0
501 Barckhoff St,15235,40.496506,-79.790565,https://www.trulia.com/p/pa/pittsburgh/501-barckhoff-st-pittsburgh-pa-15235--2014251209,90,6,Pittsburgh,PA,501 barckhoff st pittsburgh pa 15235,501 barckhoff st pittsburgh pa 15235,1,0
413 Presque Isle Dr,15239,40.473312,-79.713104,https://www.trulia.com/p/pa/pittsburgh/413-presque-isle-dr-pittsburgh-pa-15239--2014294986,90,7,Pittsburgh,PA,413 presque isle dr pittsburgh pa 15239,413 presque isle dr pittsburgh pa 15239,1,0
1281 Franklin Ave,15221,40.43816,-79.87359,https://www.trulia.com/p/pa/pittsburgh/1281-franklin-ave-pittsburgh-pa-15221--2014177395,90,8,Pittsburgh,PA,1281 franklin ave pittsburgh pa 15221,1281 franklin ave pittsburgh pa 15221,1,0
2816 Bedford Ave,15219,40.452007,-79.96864,https://www.trulia.com/p/pa/pittsburgh/2816-bedford-ave-pittsburgh-pa-15219--2014164671,90,9,Pittsburgh,PA,2816 bedford ave pittsburgh pa 15219,2816 bedford ave pittsburgh pa 15219,1,0
3515 Valley Dr,15234,40.355766,-80.02027,https://www.trulia.com/p/pa/pittsburgh/3515-valley-dr-pittsburgh-pa-15234--2014235474,90,10,Pittsburgh,PA,3515 valley dr pittsburgh pa 15234,3515 valley dr pittsburgh pa 15234,1,0
3730 Woodrow Ave,15227,40.372063,-79.97322,https://www.trulia.com/p/pa/pittsburgh/3730-woodrow-ave-pittsburgh-pa-15227--2014212443,90,11,Pittsburgh,PA,3730 woodrow ave pittsburgh pa 15227,3730 woodrow ave pittsburgh pa 15227,1,0
4736 Kincaid St,15224,40.468388,-79.94668,https://www.trulia.com/p/pa/pittsburgh/4736-kincaid-st-pittsburgh-pa-15224--2014196446,90,12,Pittsburgh,PA,4736 kincaid st pittsburgh pa 15224,4736 kincaid st pittsburgh pa 15224,1,0
1647 Belhurst Ave,15204,40.457817,-80.07844,https://www.trulia.com/p/pa/pittsburgh/1647-belhurst-ave-pittsburgh-pa-15204--2014048658,90,13,Pittsburgh,PA,1647 belhurst ave pittsburgh pa 15204,1647 belhurst ave pittsburgh pa 15204,1,0
128 Devonwood Dr,15241,40.34025,-80.06741,https://www.trulia.com/p/pa/pittsburgh/128-devonwood-dr-pittsburgh-pa-15241--2014300044,90,14,Pittsburgh,PA,128 devonwood dr pittsburgh pa 15241,128 devonwood dr pittsburgh pa 15241,1,0
1510 Ashbury Ln,15237,40.587128,-80.06683,https://www.trulia.com/p/pa/pittsburgh/1510-ashbury-ln-pittsburgh-pa-15237--2014271270,90,15,Pittsburgh,PA,1510 ashbury ln pittsburgh pa 15237,1510 ashbury ln pittsburgh pa 15237,1,0
5150 Glenhurst Rd,15207,40.37364,-79.91806,https://www.trulia.com/p/pa/pittsburgh/5150-glenhurst-rd-pittsburgh-pa-15207--2014076025,90,16,Pittsburgh,PA,5150 glenhurst rd pittsburgh pa 15207,5150 glenhurst rd pittsburgh pa 15207,1,0
1425 Dormont Ave,15216,40.39214,-80.03942,https://www.trulia.com/p/pa/pittsburgh/1425-dormont-ave-pittsburgh-pa-15216--2014139138,90,17,Pittsburgh,PA,1425 dormont ave pittsburgh pa 15216,1425 dormont ave pittsburgh pa 15216,1,0
1227 Veto St,15212,40.456272,-80.00969,https://www.trulia.com/p/pa/pittsburgh/1227-veto-st-pittsburgh-pa-15212--2014108973,90,18,Pittsburgh,PA,1227 veto st pittsburgh pa 15212,1227 veto st pittsburgh pa 15212,1,0
5270 Sherwood Dr,15236,40.35297,-80.00367,https://www.trulia.com/p/pa/pittsburgh/5270-sherwood-dr-pittsburgh-pa-15236--2014263527,90,19,Pittsburgh,PA,5270 sherwood dr pittsburgh pa 15236,5270 sherwood dr pittsburgh pa 15236,1,0
3319 Parkview Ave,15213,40.432312,-79.95295,https://www.trulia.com/p/pa/pittsburgh/3319-parkview-ave-pittsburgh-pa-15213--2014121977,90,20,Pittsburgh,PA,3319 parkview ave pittsburgh pa 15213,3319 parkview ave pittsburgh pa 15213,1,0
324 Tarragonna St,15210,40.407055,-79.99694,https://www.trulia.com/p/pa/pittsburgh/324-tarragonna-st-pittsburgh-pa-15210--2014097050,90,21,Pittsburgh,PA,324 tarragonna st pittsburgh pa 15210,324 tarragonna st pittsburgh pa 15210,1,0
755 Hill Ave,15221,40.445507,-79.880905,https://www.trulia.com/p/pa/pittsburgh/755-hill-ave-pittsburgh-pa-15221--2014187131,90,22,Pittsburgh,PA,755 hill ave pittsburgh pa 15221,755 hill ave pittsburgh pa 15221,1,0
1061 Washington Rd,15228,40.37058,-80.04906,https://www.trulia.com/p/pa/pittsburgh/1061-washington-rd-pittsburgh-pa-15228--2014216516,90,23,Pittsburgh,PA,1061 washington rd pittsburgh pa 15228,1061 washington rd pittsburgh pa 15228,1,0
1529 Napoleon St,15216,40.41161,-80.02904,https://www.trulia.com/p/pa/pittsburgh/1529-napoleon-st-pittsburgh-pa-15216--2014139943,90,24,Pittsburgh,PA,1529 napoleon st pittsburgh pa 15216,1529 napoleon st pittsburgh pa 15216,1,0
135 Williams Pl,15221,40.425278,-79.85304,https://www.trulia.com/p/pa/pittsburgh/135-williams-pl-pittsburgh-pa-15221--2014178048,90,25,Pittsburgh,PA,135 williams pl pittsburgh pa 15221,135 williams pl pittsburgh pa 15221,1,0
735 N Saint Clair St,15206,40.470078,-79.92473,https://www.trulia.com/p/pa/pittsburgh/735-n-saint-clair-st-pittsburgh-pa-15206--2089356236,90,26,Pittsburgh,PA,735 n saint clair st pittsburgh pa 15206,735 n saint clair st pittsburgh pa 15206,1,0
65 Greenbush St,15211,40.42708,-80.00782,https://www.trulia.com/p/pa/pittsburgh/65-greenbush-st-pittsburgh-pa-15211--2014106123,90,27,Pittsburgh,PA,65 greenbush st pittsburgh pa 15211,65 greenbush st pittsburgh pa 15211,1,0
4932 Yew St,15224,40.457443,-79.94689,https://www.trulia.com/p/pa/pittsburgh/4932-yew-st-pittsburgh-pa-15224--2329358749,90,28,Pittsburgh,PA,4932 yew st pittsburgh pa 15224,4932 yew st pittsburgh pa 15224,1,0
463 Diablo Dr,15241,40.306095,-80.07202,https://www.trulia.com/p/pa/pittsburgh/463-diablo-dr-pittsburgh-pa-15241--2014306024,90,29,Pittsburgh,PA,463 diablo dr pittsburgh pa 15241,463 diablo dr pittsburgh pa 15241,1,0
347 Suncrest St,15210,40.41157,-79.99494,https://www.trulia.com/p/pa/pittsburgh/347-suncrest-st-pittsburgh-pa-15210--2014097538,91,0,Pittsburgh,PA,347 suncrest st pittsburgh pa 15210,347 suncrest st pittsburgh pa 15210,1,0
617 Montooth St,15210,40.416718,-80.005615,https://www.trulia.com/p/pa/pittsburgh/617-montooth-st-pittsburgh-pa-15210--1005399422,91,1,Pittsburgh,PA,617 montooth st pittsburgh pa 15210,617 montooth st pittsburgh pa 15210,1,0
6532 Winslow St,15206,40.461823,-79.90928,https://www.trulia.com/p/pa/pittsburgh/6532-winslow-st-pittsburgh-pa-15206--2014069338,91,2,Pittsburgh,PA,6532 winslow st pittsburgh pa 15206,6532 winslow st pittsburgh pa 15206,1,0
1253 Earlford Dr,15227,40.364994,-79.97228,https://www.trulia.com/p/pa/pittsburgh/1253-earlford-dr-pittsburgh-pa-15227--2014206453,91,3,Pittsburgh,PA,1253 earlford dr pittsburgh pa 15227,1253 earlford dr pittsburgh pa 15227,1,0
597 Mount Vernon Dr,15223,40.49915,-79.955574,https://www.trulia.com/p/pa/pittsburgh/597-mount-vernon-dr-pittsburgh-pa-15223--2163092487,91,4,Pittsburgh,PA,597 mount vernon dr pittsburgh pa 15223,597 mount vernon dr pittsburgh pa 15223,1,0
6430 Jackson St,15206,40.47082,-79.91237,https://www.trulia.com/p/pa/pittsburgh/6430-jackson-st-pittsburgh-pa-15206--2014068941,91,5,Pittsburgh,PA,6430 jackson st pittsburgh pa 15206,6430 jackson st pittsburgh pa 15206,1,0
1404 Marshall Ave,15212,40.462963,-80.02985,https://www.trulia.com/p/pa/pittsburgh/1404-marshall-ave-pittsburgh-pa-15212--2014110423,91,6,Pittsburgh,PA,1404 marshall ave pittsburgh pa 15212,1404 marshall ave pittsburgh pa 15212,1,0
17 S Grandview Ave,15205,40.432148,-80.073555,https://www.trulia.com/p/pa/pittsburgh/17-s-grandview-ave-pittsburgh-pa-15205--2089354219,91,7,Pittsburgh,PA,17 s grandview ave pittsburgh pa 15205,17 s grandview ave pittsburgh pa 15205,1,0
113 S Oak Hill Rd,15238,40.48904,-79.87948,https://www.trulia.com/p/pa/pittsburgh/113-s-oak-hill-rd-pittsburgh-pa-15238--2089367063,91,8,Pittsburgh,PA,113 s oak hill rd pittsburgh pa 15238,113 s oak hill rd pittsburgh pa 15238,1,0
451 Kathleen St,15211,40.42586,-79.99872,https://www.trulia.com/p/pa/pittsburgh/451-kathleen-st-pittsburgh-pa-15211--2014105377,91,9,Pittsburgh,PA,451 kathleen st pittsburgh pa 15211,451 kathleen st pittsburgh pa 15211,1,0
1509 Wareman Ave,15226,40.389267,-80.01053,https://www.trulia.com/p/pa/pittsburgh/1509-wareman-ave-pittsburgh-pa-15226--2014200326,91,10,Pittsburgh,PA,1509 wareman ave pittsburgh pa 15226,1509 wareman ave pittsburgh pa 15226,1,0
1328 Harris Ave,15205,40.434208,-80.05321,https://www.trulia.com/p/pa/pittsburgh/1328-harris-ave-pittsburgh-pa-15205--2014053411,91,11,Pittsburgh,PA,1328 harris ave pittsburgh pa 15205,1328 harris ave pittsburgh pa 15205,1,0
461-463 Idlewood Rd,15235,40.464355,-79.80792,https://www.trulia.com/p/pa/pittsburgh/461-463-idlewood-rd-pittsburgh-pa-15235--2189445540,91,12,Pittsburgh,PA,461-463 idlewood rd pittsburgh pa 15235,461 463 idlewood rd pittsburgh pa 15235,0,0
5309 Pembroke Pl,15232,40.451,-79.93649,https://www.trulia.com/p/pa/pittsburgh/5309-pembroke-pl-pittsburgh-pa-15232--2014229113,91,13,Pittsburgh,PA,5309 pembroke pl pittsburgh pa 15232,5309 pembroke pl pittsburgh pa 15232,1,0
1602 Merriman Ct,15203,40.431026,-79.9824,https://www.trulia.com/p/pa/pittsburgh/1602-merriman-ct-pittsburgh-pa-15203--2014044573,91,14,Pittsburgh,PA,1602 merriman ct pittsburgh pa 15203,1602 merriman ct pittsburgh pa 15203,1,0
1336 Squirrel Hill Ave,15217,40.4416,-79.93381,https://www.trulia.com/p/pa/pittsburgh/1336-squirrel-hill-ave-pittsburgh-pa-15217--2014146841,91,15,Pittsburgh,PA,1336 squirrel hill ave pittsburgh pa 15217,1336 squirrel hill ave pittsburgh pa 15217,1,0
108 S Fairmount St,15206,40.46373,-79.93296,https://www.trulia.com/p/pa/pittsburgh/108-s-fairmount-st-pittsburgh-pa-15206--1141378763,91,16,Pittsburgh,PA,108 s fairmount st pittsburgh pa 15206,108 s fairmount st pittsburgh pa 15206,1,0
611 Calais Dr #4204,15237,40.568363,-80.05362,https://www.trulia.com/p/pa/pittsburgh/611-calais-dr-4204-pittsburgh-pa-15237--2014279822,91,17,Pittsburgh,PA,611 calais dr 4204 pittsburgh pa 15237,611 calais dr 4204 pittsburgh pa 15237,1,0
517 Kingsberry Ct,15237,40.51506,-79.9878,https://www.trulia.com/p/pa/pittsburgh/517-kingsberry-ct-pittsburgh-pa-15237--2014278846,91,18,Pittsburgh,PA,517 kingsberry ct pittsburgh pa 15237,517 kingsberry ct pittsburgh pa 15237,1,0
395 Rodi Rd,15235,40.45674,-79.822716,https://www.trulia.com/p/pa/pittsburgh/395-rodi-rd-pittsburgh-pa-15235--1118560507,91,19,Pittsburgh,PA,395 rodi rd pittsburgh pa 15235,395 rodi rd pittsburgh pa 15235,1,0
258 Sweet Gum Rd,15238,40.538055,-79.864655,https://www.trulia.com/p/pa/pittsburgh/258-sweet-gum-rd-pittsburgh-pa-15238--2014287345,91,20,Pittsburgh,PA,258 sweet gum rd pittsburgh pa 15238,258 sweet gum rd pittsburgh pa 15238,1,0
6440 Monitor St,15217,40.42456,-79.91824,https://www.trulia.com/p/pa/pittsburgh/6440-monitor-st-pittsburgh-pa-15217--2014153663,91,21,Pittsburgh,PA,6440 monitor st pittsburgh pa 15217,6440 monitor st pittsburgh pa 15217,1,0
5322 Keystone St,15201,40.481354,-79.95007,https://www.trulia.com/p/pa/pittsburgh/5322-keystone-st-pittsburgh-pa-15201--2014037204,91,22,Pittsburgh,PA,5322 keystone st pittsburgh pa 15201,5322 keystone st pittsburgh pa 15201,1,0
1129 Michael Dr,15227,40.394646,-79.96502,https://www.trulia.com/p/pa/pittsburgh/1129-michael-dr-pittsburgh-pa-15227--2014205863,91,23,Pittsburgh,PA,1129 michael dr pittsburgh pa 15227,1129 michael dr pittsburgh pa 15227,1,0
1100 Raven Dr,15243,40.381447,-80.070816,https://www.trulia.com/p/pa/pittsburgh/1100-raven-dr-pittsburgh-pa-15243--2014306757,91,24,Pittsburgh,PA,1100 raven dr pittsburgh pa 15243,1100 raven dr pittsburgh pa 15243,1,0
1321 Fallowfield Ave,15216,40.415493,-80.02374,https://www.trulia.com/p/pa/pittsburgh/1321-fallowfield-ave-pittsburgh-pa-15216--2014138513,91,25,Pittsburgh,PA,1321 fallowfield ave pittsburgh pa 15216,1321 fallowfield ave pittsburgh pa 15216,1,0
413 Redwood Ct,15202,40.50216,-80.04546,https://www.trulia.com/p/pa/pittsburgh/413-redwood-ct-pittsburgh-pa-15202--2014041072,91,26,Pittsburgh,PA,413 redwood ct pittsburgh pa 15202,413 redwood ct pittsburgh pa 15202,1,0
32 Clifton St,15210,40.38788,-79.980965,https://www.trulia.com/p/pa/pittsburgh/32-clifton-st-pittsburgh-pa-15210--2014097195,91,27,Pittsburgh,PA,32 clifton st pittsburgh pa 15210,32 clifton st pittsburgh pa 15210,1,0
5226 Harrison St,15201,40.48124,-79.95463,https://www.trulia.com/p/pa/pittsburgh/5226-harrison-st-pittsburgh-pa-15201--2014036789,91,28,Pittsburgh,PA,5226 harrison st pittsburgh pa 15201,5226 harrison st pittsburgh pa 15201,1,0
5430 Aylesboro Ave,15217,40.438313,-79.93231,https://www.trulia.com/p/pa/pittsburgh/5430-aylesboro-ave-pittsburgh-pa-15217--2014150586,91,29,Pittsburgh,PA,5430 aylesboro ave pittsburgh pa 15217,5430 aylesboro ave pittsburgh pa 15217,1,0
10 Riviera Rd,15239,40.474293,-79.70981,https://www.trulia.com/p/pa/pittsburgh/10-riviera-rd-pittsburgh-pa-15239--2014290836,92,0,Pittsburgh,PA,10 riviera rd pittsburgh pa 15239,10 riviera rd pittsburgh pa 15239,1,0
599 Blessing St,15213,40.457623,-79.95696,https://www.trulia.com/p/pa/pittsburgh/599-blessing-st-pittsburgh-pa-15213--2014124366,92,1,Pittsburgh,PA,599 blessing st pittsburgh pa 15213,599 blessing st pittsburgh pa 15213,1,0
853 Sherwood Rd,15221,40.43012,-79.86093,https://www.trulia.com/p/pa/pittsburgh/853-sherwood-rd-pittsburgh-pa-15221--2014188194,92,2,Pittsburgh,PA,853 sherwood rd pittsburgh pa 15221,853 sherwood rd pittsburgh pa 15221,1,0
3884 Delco Rd,15227,40.37,-79.98543,https://www.trulia.com/p/pa/pittsburgh/3884-delco-rd-pittsburgh-pa-15227--2014212839,92,3,Pittsburgh,PA,3884 delco rd pittsburgh pa 15227,3884 delco rd pittsburgh pa 15227,1,0
1916 Monroe St,15218,40.420807,-79.89167,https://www.trulia.com/p/pa/pittsburgh/1916-monroe-st-pittsburgh-pa-15218--2014157133,92,4,Pittsburgh,PA,1916 monroe st pittsburgh pa 15218,1916 monroe st pittsburgh pa 15218,1,0
506 Haverhill Rd,15228,40.37756,-80.0233,https://www.trulia.com/p/pa/pittsburgh/506-haverhill-rd-pittsburgh-pa-15228--2014220802,92,5,Pittsburgh,PA,506 haverhill rd pittsburgh pa 15228,506 haverhill rd pittsburgh pa 15228,1,0
613 Arden Ln,15243,40.387375,-80.05575,https://www.trulia.com/p/pa/pittsburgh/613-arden-ln-pittsburgh-pa-15243--2014310308,92,6,Pittsburgh,PA,613 arden ln pittsburgh pa 15243,613 arden ln pittsburgh pa 15243,1,0
306 Soose Rd,15209,40.499634,-79.96306,https://www.trulia.com/p/pa/pittsburgh/306-soose-rd-pittsburgh-pa-15209--2014086798,92,7,Pittsburgh,PA,306 soose rd pittsburgh pa 15209,306 soose rd pittsburgh pa 15209,1,0
4022 Cape Cod Dr,15239,40.465458,-79.702736,https://www.trulia.com/p/pa/pittsburgh/4022-cape-cod-dr-pittsburgh-pa-15239--2014294785,92,8,Pittsburgh,PA,4022 cape cod dr pittsburgh pa 15239,4022 cape cod dr pittsburgh pa 15239,1,0
1202 Pleasantvue Dr,15227,40.381474,-79.95683,https://www.trulia.com/p/pa/pittsburgh/1202-pleasantvue-dr-pittsburgh-pa-15227--2014206191,92,9,Pittsburgh,PA,1202 pleasantvue dr pittsburgh pa 15227,1202 pleasantvue dr pittsburgh pa 15227,1,0
1213 Clairhaven St,15205,40.439423,-80.05266,https://www.trulia.com/p/pa/pittsburgh/1213-clairhaven-st-pittsburgh-pa-15205--2014052830,92,10,Pittsburgh,PA,1213 clairhaven st pittsburgh pa 15205,1213 clairhaven st pittsburgh pa 15205,1,0
245 Morrison Dr,15216,40.3931,-80.04985,https://www.trulia.com/p/pa/pittsburgh/245-morrison-dr-pittsburgh-pa-15216--2014142723,92,11,Pittsburgh,PA,245 morrison dr pittsburgh pa 15216,245 morrison dr pittsburgh pa 15216,1,0
107 Woodshire Dr,15215,40.498123,-79.88775,https://www.trulia.com/p/pa/pittsburgh/107-woodshire-dr-pittsburgh-pa-15215--2289047115,92,12,Pittsburgh,PA,107 woodshire dr pittsburgh pa 15215,107 woodshire dr pittsburgh pa 15215,1,0
707 Mifflin Ave,15221,40.438553,-79.89332,https://www.trulia.com/p/pa/pittsburgh/707-mifflin-ave-pittsburgh-pa-15221--2014186410,92,13,Pittsburgh,PA,707 mifflin ave pittsburgh pa 15221,707 mifflin ave pittsburgh pa 15221,1,0
221 Moore Ave,15210,40.41162,-79.9917,https://www.trulia.com/p/pa/pittsburgh/221-moore-ave-pittsburgh-pa-15210--2014094069,92,14,Pittsburgh,PA,221 moore ave pittsburgh pa 15210,221 moore ave pittsburgh pa 15210,1,0
732 Eathan Ave,15226,40.397175,-80.017235,https://www.trulia.com/p/pa/pittsburgh/732-eathan-ave-pittsburgh-pa-15226--2014204313,92,15,Pittsburgh,PA,732 eathan ave pittsburgh pa 15226,732 eathan ave pittsburgh pa 15226,1,0
1330 Illinois Ave,15216,40.394432,-80.032585,https://www.trulia.com/p/pa/pittsburgh/1330-illinois-ave-pittsburgh-pa-15216--2014138625,92,16,Pittsburgh,PA,1330 illinois ave pittsburgh pa 15216,1330 illinois ave pittsburgh pa 15216,1,0
2116 Lloyd Ave,15218,40.42642,-79.88012,https://www.trulia.com/p/pa/pittsburgh/2116-lloyd-ave-pittsburgh-pa-15218--2014157592,92,17,Pittsburgh,PA,2116 lloyd ave pittsburgh pa 15218,2116 lloyd ave pittsburgh pa 15218,1,0
